2023-01-31 08:14:06,910 | INFO  | background-preinit | HV000001: Hibernate Validator 6.2.3.Final
2023-01-31 08:14:06,911 | INFO  | restartedMain | Starting AdminServiceApplication using Java 11.0.17 on LAPTOP-9DOSIF2G with PID 18348 (D:\code\admin-social-service\target\classes started by dat do in D:\code\admin-social-service)
2023-01-31 08:14:06,916 | INFO  | restartedMain | No active profile set, falling back to 1 default profile: "default"
2023-01-31 08:14:06,984 | INFO  | restartedMain | The Class-Path manifest attribute in C:\Users\tien dat\.m2\repository\com\oracle\database\security\oraclepki\21.3.0.0\oraclepki-21.3.0.0.jar referenced one or more files that do not exist: file:/C:/Users/tien%20dat/.m2/repository/com/oracle/database/security/oraclepki/21.3.0.0/osdt_core.jar,file:/C:/Users/tien%20dat/.m2/repository/com/oracle/database/security/oraclepki/21.3.0.0/osdt_cert.jar,file:/C:/Users/tien%20dat/.m2/repository/com/oracle/database/security/oraclepki/oracle.osdt/osdt_core.jar,file:/C:/Users/tien%20dat/.m2/repository/com/oracle/database/security/oraclepki/oracle.osdt/osdt_cert.jar
2023-01-31 08:14:06,985 | INFO  | restartedMain | Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-01-31 08:14:06,985 | INFO  | restartedMain | For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-01-31 08:14:08,304 | INFO  | restartedMain | Multiple Spring Data modules found, entering strict repository configuration mode!
2023-01-31 08:14:08,305 | INFO  | restartedMain | Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-01-31 08:14:08,359 | INFO  | restartedMain | Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.epay.ewallet.service.admin.repository.GroupsettingRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
2023-01-31 08:14:08,362 | INFO  | restartedMain | Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.epay.ewallet.service.admin.repository.UserGroupRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
2023-01-31 08:14:08,365 | INFO  | restartedMain | Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.epay.ewallet.service.admin.repository.UserRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
2023-01-31 08:14:08,366 | INFO  | restartedMain | Finished Spring Data repository scanning in 50 ms. Found 0 JPA repository interfaces.
2023-01-31 08:14:08,383 | INFO  | restartedMain | Multiple Spring Data modules found, entering strict repository configuration mode!
2023-01-31 08:14:08,384 | INFO  | restartedMain | Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2023-01-31 08:14:08,424 | INFO  | restartedMain | Finished Spring Data repository scanning in 39 ms. Found 3 MongoDB repository interfaces.
2023-01-31 08:14:08,882 | INFO  | restartedMain | Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@5b33afc0' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-01-31 08:14:08,888 | INFO  | restartedMain | Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-01-31 08:14:09,479 | INFO  | restartedMain | Tomcat initialized with port(s): 9207 (http)
2023-01-31 08:14:09,490 | INFO  | restartedMain | Initializing ProtocolHandler ["http-nio-9207"]
2023-01-31 08:14:09,490 | INFO  | restartedMain | Starting service [Tomcat]
2023-01-31 08:14:09,491 | INFO  | restartedMain | Starting Servlet engine: [Apache Tomcat/9.0.62]
2023-01-31 08:14:09,586 | INFO  | restartedMain | Initializing Spring embedded WebApplicationContext
2023-01-31 08:14:09,587 | INFO  | restartedMain | Root WebApplicationContext: initialization completed in 2601 ms
2023-01-31 08:14:09,972 | INFO  | restartedMain | authen - Starting...
2023-01-31 08:14:09,977 | WARN  | restartedMain | Registered driver with driverClassName=oracle.jdbc.driver.OracleDriver was not found, trying direct instantiation.
2023-01-31 08:14:10,354 | INFO  | restartedMain | authen - Driver does not support get/set network timeout for connections. (Receiver class oracle.jdbc.driver.T4CConnection does not define or inherit an implementation of the resolved method 'abstract int getNetworkTimeout()' of interface java.sql.Connection.)
2023-01-31 08:14:10,368 | INFO  | restartedMain | authen - Start completed.
2023-01-31 08:14:10,421 | INFO  | restartedMain | HHH000204: Processing PersistenceUnitInfo [name: default]
2023-01-31 08:14:10,477 | INFO  | restartedMain | HHH000412: Hibernate ORM core version 5.6.8.Final
2023-01-31 08:14:10,640 | INFO  | restartedMain | HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2023-01-31 08:14:10,758 | INFO  | restartedMain | HHH000400: Using dialect: org.hibernate.dialect.Oracle10gDialect
2023-01-31 08:14:10,989 | INFO  | restartedMain | HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-01-31 08:14:11,001 | INFO  | restartedMain | Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-01-31 08:14:11,060 | WARN  | restartedMain | spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-01-31 08:14:11,247 | INFO  | restartedMain | Cluster created with settings {hosts=[172.16.10.74:27017, 172.16.10.74:27018, 172.16.10.74:27019], mode=MULTIPLE, requiredClusterType=REPLICA_SET, serverSelectionTimeout='30000 ms', requiredReplicaSetName='ewalletRepl'}
2023-01-31 08:14:11,248 | INFO  | restartedMain | Adding discovered server 172.16.10.74:27017 to client view of cluster
2023-01-31 08:14:11,286 | INFO  | restartedMain | Adding discovered server 172.16.10.74:27018 to client view of cluster
2023-01-31 08:14:11,289 | INFO  | restartedMain | Adding discovered server 172.16.10.74:27019 to client view of cluster
2023-01-31 08:14:11,356 | INFO  | cluster-rtt-ClusterId{value='63d86b632c7f557b1436abf4', description='null'}-172.16.10.74:27019 | Opened connection [connectionId{localValue:4, serverValue:7772}] to 172.16.10.74:27019
2023-01-31 08:14:11,356 | INFO  | cluster-ClusterId{value='63d86b632c7f557b1436abf4', description='null'}-172.16.10.74:27018 | Opened connection [connectionId{localValue:3, serverValue:7771}] to 172.16.10.74:27018
2023-01-31 08:14:11,356 | INFO  | cluster-rtt-ClusterId{value='63d86b632c7f557b1436abf4', description='null'}-172.16.10.74:27018 | Opened connection [connectionId{localValue:1, serverValue:7770}] to 172.16.10.74:27018
2023-01-31 08:14:11,356 | INFO  | cluster-rtt-ClusterId{value='63d86b632c7f557b1436abf4', description='null'}-172.16.10.74:27017 | Opened connection [connectionId{localValue:6, serverValue:8395}] to 172.16.10.74:27017
2023-01-31 08:14:11,356 | INFO  | cluster-ClusterId{value='63d86b632c7f557b1436abf4', description='null'}-172.16.10.74:27017 | Opened connection [connectionId{localValue:5, serverValue:8394}] to 172.16.10.74:27017
2023-01-31 08:14:11,356 | INFO  | cluster-ClusterId{value='63d86b632c7f557b1436abf4', description='null'}-172.16.10.74:27019 | Opened connection [connectionId{localValue:2, serverValue:7771}] to 172.16.10.74:27019
